"yr" "TotClf" "NatClf" "TotYrl" "Tot2yo" "Tot3yo" "NatJuv" "TotReAd" "NatReAd" "PopGrowthMalePlusFemale"
"5" 1981 0.466002221278502 0.516950292001587 0.897713671328486 0.904845185710248 0.890888688497767 0.904456 0.955413203929676 0.994751 0.957302
"6" 1982 0.472983107090644 0.527355658615227 0.89768024073482 0.904808145149041 0.889269884335168 0.904456 0.95764088378043 0.994751 0.959502
"7" 1983 0.483949561083462 0.537805208191971 0.897642980273142 0.902713681123641 0.891907822355495 0.904456 0.957120143235322 0.994751 0.959268
"8" 1984 0.492618591439376 0.548377306454648 0.897372807521253 0.904541490565712 0.892227336448283 0.904456 0.94497815298659 0.994751 0.947792
"9" 1985 0.494741927329966 0.561350854022438 0.899215793092812 0.904927421644452 0.892305636088455 0.904456 0.942186118442752 0.994751 0.945382
"10" 1986 0.505305085801134 0.575817855264615 0.899928341408803 0.905688466793181 0.885630600448433 0.904456 0.949267516450366 0.994751 0.952075
"11" 1987 0.523180388047534 0.589357667825529 0.900634077164747 0.90320745756783 0.889646791832069 0.904456 0.946755039787754 0.994751 0.950246
"12" 1988 0.532705983959659 0.602782293157129 0.899928285171374 0.905850005134691 0.892039624330172 0.904456 0.955127356809926 0.994751 0.958696
"13" 1989 0.549694027195536 0.614899705380917 0.901741031209474 0.905154026279648 0.887013941118564 0.904456 0.963986124548119 0.994751 0.966923
"14" 1990 0.565634191137596 0.624725178798134 0.901247420383819 0.905621801367735 0.907600246199417 0.904456 0.963624818216275 0.994751 0.967718
"15" 1991 0.565258930215442 0.63363242271136 0.902631002099538 0.906619625748254 0.907841182423741 0.904456 0.961965718854503 0.994751 0.966562
"16" 1992 0.574927037122568 0.642650805160683 0.903256940577133 0.906131186777996 0.907338892750076 0.904456 0.9669501330082 0.994751 0.970906
"17" 1993 0.583111507391899 0.650925106635755 0.902846473234699 0.906366729242906 0.906910305328502 0.904456 0.96782442505488 0.994751 0.97153
"18" 1994 0.592552301320849 0.658432807406976 0.891582301206901 0.908173867050997 0.90818067619764 0.904456 0.959899358710439 0.994751 0.965248
"19" 1995 0.602807503360304 0.666638199833491 0.901301835469736 0.90649098382006 0.907138417884584 0.904456 0.969397113215578 0.994751 0.973295
"20" 1996 0.603218614192954 0.674030470448199 0.901987427532238 0.90752397800184 0.907650908672357 0.904456 0.963806433061044 0.994751 0.968327
"21" 1997 0.597471428907517 0.680841580357199 0.902313625689335 0.907805318048622 0.908482780568202 0.904456 0.976214076273298 0.994751 0.981352
"22" 1998 0.632017566480507 0.686380216903716 0.901575472854628 0.907759631279348 0.908753863010372 0.904456 0.975613529031615 0.994751 0.98078
"23" 1999 0.637836127742465 0.690550729434036 0.901437108303818 0.910317638494274 0.910270964260307 0.904456 0.950272513691887 0.994751 0.957005
"24" 2000 0.61443335573063 0.696980095548011 0.903954227344831 0.909454575729499 0.909942210827508 0.904456 0.963460359070775 0.994751 0.969556
"25" 2001 0.629531515829707 0.704027438220776 0.906138749439874 0.908385704786485 0.909454140236827 0.904456 0.9738888576264 0.994751 0.979482
"26" 2002 0.648009527550825 0.70865085822289 0.904415738344438 0.909633395485513 0.910160710697565 0.904456 0.971334557834389 0.994751 0.977896
"27" 2003 0.65705110317586 0.712299440037928 0.903953792967097 0.907413894947012 0.908325827214857 0.904456 0.977199148595652 0.994751 0.981385
"28" 2004 0.661701201419351 0.71559087104456 0.904268318219521 0.906860314186428 0.907903266155107 0.904456 0.98438692670367 0.994751 0.988132
"29" 2005 0.678518765273971 0.717876457128457 0.902693700331696 0.907606325687622 0.908744160442905 0.904456 0.981504805326515 0.994751 0.986002
"30" 2006 0.675398397277902 0.719676864580432 0.903162886921815 0.906630143331437 0.907668004687016 0.904456 0.985979598406779 0.994751 0.989257
"31" 2007 0.681091950291062 0.721353301203195 0.904627965621995 0.906065590564546 0.906785061934912 0.904456 0.974654969116241 0.994751 0.975927
"32" 2008 0.642603217745719 0.723392551128022 0.905087683548708 0.905283507493462 0.906241914614575 0.904456 0.990200529255478 0.994751 0.991693
"33" 2009 0.681833250099371 0.725349990143892 0.903985862079449 0.908199040622283 0.908876614826054 0.904456 0.978257636683111 0.994751 0.982386
"34" 2010 0.692450044720884 0.726686106210947 0.907567020085039 0.904311230577308 0.90508323448656 0.904456 0.984105518955164 0.994751 0.983211
"35" 2011 0.664952931114778 0.728495900970661 0.902338172082432 0.904843331574174 0.905930326094838 0.904456 0.990233489574862 0.994751 0.990732
"36" 2012 0.689165421314469 0.72966833141618 0.904254075126553 0.904907367607041 0.905551123564197 0.904456 0.981856821280372 0.994751 0.980801
"37" 2013 0.65912165938649 0.730784652477186 0.904492207226164 0.905205433307778 0.906612495184843 0.904456 0.998375867778717 0.994751 1.00022
"38" 2014 0.707199607035406 0.731581669462279 0.904686382753247 0.903037152756422 0.904238242708537 0.904456 0.999948334681546 0.994751 0.998827
"39" 2015 0.705653896457183 0.731287716145526 0.902630817783888 0.902750600684068 0.904214383755412 0.904456 1.0003684917924 0.994751 0.999149
